timestamp,magn_x,magn_y,magn_z
84180,-0.1043,0.19978,-0.27258
84201,-0.1043,0.19978,-0.27258
84201,-0.1043,0.19978,-0.27258
84223,-0.1043,0.19978,-0.27258
84223,-0.1043,0.19978,-0.27258
84244,-0.1043,0.19978,-0.27258
84244,-0.1043,0.19978,-0.27258
84265,-0.1043,0.19978,-0.27258
84287,-0.1043,0.19978,-0.27258
84287,-0.1043,0.19978,-0.27258
84308,-0.17584,0.31080002,-0.18676001
84308,-0.17584,0.31080002,-0.18676001
84329,-0.17584,0.31080002,-0.18676001
84329,-0.17584,0.31080002,-0.18676001
84351,-0.14448,0.33138,-0.26292
84351,-0.14448,0.33138,-0.26292
84372,-0.14448,0.33138,-0.26292
84372,-0.14448,0.33138,-0.26292
84394,-0.07714,0.35042,-0.32144
84415,-0.02114,0.36428002,-0.35322002
84415,-0.02114,0.36428002,-0.35322002
84436,-0.02114,0.36428002,-0.35322002
84436,-0.02114,0.36428002,-0.35322002
84457,-0.02114,0.36428002,-0.35322002
84457,-0.02114,0.36428002,-0.35322002
84479,-0.02114,0.36428002,-0.35322002
84479,-0.02114,0.36428002,-0.35322002
84500,0.011340001,0.37394002,-0.36078
84500,0.011340001,0.37394002,-0.36078
84521,0.0406,0.39200002,-0.36288002
84543,0.0406,0.39200002,-0.36288002
84543,0.0406,0.39200002,-0.36288002
84564,0.0406,0.39200002,-0.36288002
84564,0.0406,0.39200002,-0.36288002
84586,0.0406,0.39200002,-0.36288002
84586,0.0406,0.39200002,-0.36288002
84607,0.0406,0.39200002,-0.36288002
84607,0.0406,0.39200002,-0.36288002
84628,0.14840001,0.34706,-0.38612002
84628,0.14840001,0.34706,-0.38612002
84649,0.14840001,0.34706,-0.38612002
84671,0.14840001,0.34706,-0.38612002
84671,0.14840001,0.34706,-0.38612002
84692,0.14840001,0.34706,-0.38612002
84692,0.14840001,0.34706,-0.38612002
84713,0.14840001,0.34706,-0.38612002
84713,0.14840001,0.34706,-0.38612002
84735,0.14840001,0.34706,-0.38612002
84735,0.14840001,0.34706,-0.38612002
84756,0.2037,0.28686002,-0.38304
84756,0.2037,0.28686002,-0.38304
84777,0.2037,0.28686002,-0.38304
84799,0.2037,0.28686002,-0.38304
84799,0.2037,0.28686002,-0.38304
84820,0.2037,0.28686002,-0.38304
84820,0.2037,0.28686002,-0.38304
84841,0.2037,0.28686002,-0.38304
84842,0.2037,0.28686002,-0.38304
84863,0.2037,0.28686002,-0.38304
84863,0.2037,0.28686002,-0.38304
84884,0.2037,0.28686002,-0.38304
84884,0.23268001,0.29638,-0.36834002
84905,0.20034,0.37394002,-0.36596
84906,0.20034,0.37394002,-0.36596
84927,0.20034,0.37394002,-0.36596
84948,0.20034,0.37394002,-0.36596
84948,0.20034,0.37394002,-0.36596
84969,0.20034,0.37394002,-0.36596
84969,0.20034,0.37394002,-0.36596
84991,0.20034,0.37394002,-0.36596
84991,0.20034,0.37394002,-0.36596
85012,0.20034,0.37394002,-0.36596
85012,0.20034,0.37394002,-0.36596
85033,0.1407,0.3934,-0.37198
85033,0.1407,0.3934,-0.37198
85055,0.1407,0.3934,-0.37198
85076,0.1407,0.3934,-0.37198
85076,0.1407,0.3934,-0.37198
85097,0.1407,0.3934,-0.37198
85098,0.1407,0.3934,-0.37198
85119,0.1407,0.3934,-0.37198
85119,0.1407,0.3934,-0.37198
85140,-0.06538,0.41482002,-0.30478
85140,-0.06538,0.41482002,-0.30478
85161,-0.094220005,0.41426,-0.26726002
85161,-0.094220005,0.41426,-0.26726002
85183,-0.10948,0.41104,-0.26012
85204,-0.10948,0.41104,-0.26012
85204,-0.10948,0.41104,-0.26012
85225,-0.10948,0.41104,-0.26012
85226,-0.10948,0.41104,-0.26012
85247,-0.11382,0.4144,-0.25018
85247,-0.11382,0.4144,-0.25018
85268,-0.11382,0.4144,-0.25018
85268,-0.11382,0.4144,-0.25018
85289,-0.09086,0.39578,-0.29582
85290,-0.09086,0.39578,-0.29582
85311,-0.09086,0.39578,-0.29582
85332,-0.09086,0.39578,-0.29582
85332,-0.09086,0.39578,-0.29582
85353,0.05082,0.33656,-0.38416
85354,0.05082,0.33656,-0.38416
85375,0.0938,0.3122,-0.3969
85375,0.0938,0.3122,-0.3969
85396,0.0938,0.3122,-0.3969
85396,0.0938,0.3122,-0.3969
85417,0.16436,0.27636,-0.3885
85418,0.16436,0.27636,-0.3885
85439,0.16436,0.27636,-0.3885
85460,0.23856,0.25256002,-0.36932
85460,0.23856,0.25256002,-0.36932
85481,0.23856,0.25256002,-0.36932
85481,0.23856,0.25256002,-0.36932
85503,0.23856,0.25256002,-0.36932
85503,0.23856,0.25256002,-0.36932
85524,0.32844,0.23058,-0.32984
85524,0.32844,0.23058,-0.32984
85545,0.32844,0.23058,-0.32984
85545,0.32844,0.23058,-0.32984
85567,0.3486,0.22316,-0.30702
85588,0.3808,0.22106001,-0.26628
85588,0.3808,0.22106001,-0.26628
85609,0.3808,0.22106001,-0.26628
85610,0.3808,0.22106001,-0.26628
85631,0.3808,0.22106001,-0.26628
85631,0.3808,0.22106001,-0.26628
85652,0.39746,0.2282,-0.25620002
85652,0.39746,0.2282,-0.25620002
85674,0.39746,0.2282,-0.25620002
85674,0.39746,0.2282,-0.25620002
85695,0.39746,0.2282,-0.25620002
85716,0.37492,0.23702,-0.28434
85716,0.37492,0.23702,-0.28434
85737,0.37492,0.23702,-0.28434
85737,0.37492,0.23702,-0.28434
85759,0.37492,0.23702,-0.28434
85759,0.37492,0.23702,-0.28434
85780,0.26068002,0.25564,-0.36708
85780,0.26068002,0.25564,-0.36708
85802,0.26068002,0.25564,-0.36708
85802,0.26068002,0.25564,-0.36708
85823,0.21364,0.24626,-0.38584
85823,0.21364,0.24626,-0.38584
85844,0.18074,0.23114,-0.39088002
85865,0.18074,0.23114,-0.39088002
85866,0.18074,0.23114,-0.39088002
85887,0.18074,0.23114,-0.39088002
85887,0.18074,0.23114,-0.39088002
85908,0.18074,0.23114,-0.39088002
85908,0.18074,0.23114,-0.39088002
85929,0.18074,0.23114,-0.39088002
85929,0.18074,0.23114,-0.39088002
85951,0.18074,0.23114,-0.39088002
85951,0.18074,0.23114,-0.39088002
85972,0.12754,0.22316,-0.39270002
85993,0.12754,0.22316,-0.39270002
85993,0.12754,0.22316,-0.39270002
86015,0.113960005,0.23198001,-0.39452
86015,0.113960005,0.23198001,-0.39452
86036,0.113960005,0.23198001,-0.39452
86036,0.113960005,0.23198001,-0.39452
86057,0.07378,0.24794,-0.38682002
86058,0.07378,0.24794,-0.38682002
86079,0.04046,0.24290001,-0.37786
86079,0.04046,0.24290001,-0.37786
86100,0.04046,0.24290001,-0.37786
86121,0.04046,0.24290001,-0.37786
86122,0.04046,0.24290001,-0.37786
86143,0.04046,0.24290001,-0.37786
86143,0.04046,0.24290001,-0.37786
86164,-0.00812,0.2611,-0.36414
86164,-0.00812,0.2611,-0.36414
86185,-0.0182,0.26796,-0.36232
86186,-0.0182,0.26796,-0.36232
86207,-0.0182,0.26796,-0.36232
86207,-0.0182,0.26796,-0.36232
86228,-0.0182,0.26796,-0.36232
86249,-0.0175,0.27664,-0.36316
86249,-0.0175,0.27664,-0.36316
86271,0.02212,0.23856,-0.37100002
86271,0.02212,0.23856,-0.37100002
86292,0.02212,0.23856,-0.37100002
86292,0.02212,0.23856,-0.37100002
86313,0.049700003,0.17962,-0.3738
86314,0.049700003,0.17962,-0.3738
